Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time
3.486189216310417,0.0014165909486330624,5.99014233448439,-0.0006,0.002,0.0
3.746592135437914,1.4890569689379058,5.9925280590812635,1.4995,4.618,2.594000000000001
3.7754376470108912,1.4904257656260722,5.991340242003631,1.4995,4.669,8.922000000000004
3.7948436066581626,1.491527146696219,6.003554458008486,1.4995,4.694,15.234000000000002
3.811691165065912,1.4914253370757167,6.026728624897185,1.4995,4.707,21.516000000000005
3.826772557265428,1.4926173566920191,6.03867248581197,1.4995,4.719,27.797000000000004
3.840721815825641,1.4924865663540854,6.0480079127430795,1.4995,4.732,34.125
3.8541950377956193,1.492478048787206,6.047619227446102,1.4995,4.745,40.438
3.866966071469437,1.49100478096467,6.056981683824999,1.4995,4.757,46.719
3.8784961257817607,1.490559341418844,6.058078071543086,1.4995,4.77,53.0
3.8896242404746117,1.4893562488189032,6.065722606822131,1.4995,4.783,59.266000000000005
3.900672297262912,1.4916962879066125,6.073167739947172,1.4995,4.796,65.547
3.9109936669939396,1.491437284121399,6.092384323850221,1.4995,4.796,71.828
3.9204910060130866,1.4897114107924454,6.111105341010749,1.4995,4.808,78.078
3.9298040199251227,1.4926724463810546,6.122417677213574,1.4995,4.821,84.375
3.938368188118077,1.4897043993015562,6.137558492264286,1.4995,4.834,90.60900000000001
3.946541796005003,1.4910355772397326,6.14138401521438,1.4995,4.834,96.85900000000001
3.9539107152514483,1.4896584499649523,6.166515271216446,1.4995,4.846,103.10900000000001
3.9611459588767257,1.4917153879253695,6.192166180925709,1.4995,4.859,109.35900000000001
3.9675020356906736,1.491474858585367,6.201889988503179,1.4995,4.859,115.60900000000001
3.973777613923777,1.4906540145494493,6.238739774555821,1.4995,4.872,121.844
3.979264789751044,1.4909480722759274,6.253421042155967,1.4995,4.872,128.078
3.984455695377648,1.4925086597797013,6.259260633910517,1.4995,4.872,134.328
3.9890820253143495,1.4908910418869636,6.2844957232092655,1.4995,4.884,140.563
3.993331360506622,1.4915930822985037,6.315890693441855,1.4995,4.884,146.813
3.9971878671977548,1.4922169040974902,6.336323565370714,1.4995,4.884,153.063
4.000424327053802,1.491094526162052,6.354674832506573,1.4995,4.897,159.344
4.003799400294708,1.4922798206396508,6.374075768427731,1.4995,4.897,166.0
4.006755116569684,1.4912161999780198,6.409402934961422,1.4995,4.897,172.406
4.009486655066318,1.4903529871536314,6.441685388804724,1.4995,4.897,178.781
4.011769951109401,1.4915745019302957,6.455485092020483,1.4995,4.91,185.14100000000002
4.014139944048369,1.491584398540431,6.482501951185904,1.4995,4.91,191.547
4.016134832478767,1.4916148598507724,6.500629965477047,1.4995,4.91,197.953
4.018021190053993,1.4928108295543063,6.525860034417731,1.4995,4.91,204.328
4.019903390356868,1.4914021718058064,6.560213436337045,1.4995,4.91,210.734
4.021677956241273,1.490671880801471,6.571319219597457,1.4995,4.91,217.141
4.023511256984593,1.4925836651857065,6.595935956563694,1.4995,4.91,223.5
4.025041964577231,1.4929523315672348,6.622888858689871,1.4995,4.91,229.922
